GPA_year1,GPA_year2,age,chooseUTM,compsurv,control,credits_earned1,credits_earned2,dad1,dad2,dad_edn,english,female,finish4,goodstanding_year1,goodstanding_year2,gpa0,graddeg,grade_20059_fall,hcom,hsgroup,lastmin,lm_never,lm_rarely,mathsci,mom1,mom2,mom_edn,mtongue,noshow,numcourses_nov1,prob_year1,prob_year2,sex,sfp,sfp_p,sfpany,sfpany_p,sfsp,sfsp_p,signup,ssp,ssp_p,totcredits_year1,used_adv,used_fsg,used_ssp,work1
2.72,2.78,17,0,1,0,3.5,3.5,0,0,don t kn,1,0,1,1,1,84.5,1,75,0,3,occasion,0,0,1,0,0,don t kn,English,0,5,0,0,M,1,1,1,1,0,0,1,0,0,5,0,0,0,0
3.14,3.33,18,0,1,1,2.5,3,1,1,complete,0,0,1,1,1,80,1,70.5,1,2,often,0,0,1,1,1,complete,Other,0,6,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.71,2.66,18,0,1,1,3.5,5,1,0,complete,1,0,1,1,1,78.2,0,75,0,2,occasion,0,0,3,1,0,complete,English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.9,2.81,18,1,1,0,3,2.5,1,1,complete,0,0,1,1,1,76.5,0,83,1,2,often,0,0,1,1,1,complete,Other,0,4,0,0,M,1,1,1,1,0,0,1,0,0,4,0,0,0,0
0.91,1.77,18,1,1,0,2.5,1.5,0,0,did not,1,0,1,0,0,72.3,0,52,1,1,often,0,0,0,1,1,complete,English,0,5,0,1,M,1,1,1,1,0,0,1,0,0,4,0,0,0,0
1.74,0.26,19,0,1,0,1.5,1,1,0,graduate,1,0,1,0,0,80.2,1,51,1,2,occasion,0,0,1.5,1,0,graduate,English,0,5,0,1,M,1,1,1,1,0,0,1,0,0,3,0,0,0,0
3.06,3.16,19,0,1,0,3.25,3.5,1,0,graduate,1,1,1,1,1,84.8,0,76,0,3,occasion,0,0,1,1,0,graduate,English,0,6,0,0,F,1,1,1,1,0,0,1,0,0,4.5,0,0,0,0
0,1.85,18,0,1,0,0,1,1,1,complete,0,0,1,0,0,80,1,,1,2,rarely,0,1,3.5,1,0,attende,Other,0,4,0,1,M,1,0,1,0,0,0,0,0,0,4,0,0,0,0
0.23,2.03,18,0,1,0,1,3,1,1,complete,0,1,1,0,0,79.3,1,49.5,1,2,occasion,0,0,2.5,1,1,complete,Other,0,5,1,1,F,0,0,0,0,0,0,0,1,0,4.5,0,0,0,0
2.59,3.11,18,0,1,1,3,3.5,1,0,complete,1,1,1,1,1,86,0,73,0,3,occasion,0,0,0,1,0,complete,English,0,5,0,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1.3,2,18,0,1,1,2.5,4.5,1,0,complete,1,1,1,0,1,77,0,62,1,2,rarely,0,1,3,1,0,complete,English,0,5,1,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.71,2.51,18,1,1,1,3.5,5,0,0,don t kn,1,0,1,1,1,84.8,1,76,0,3,often,0,0,4,1,1,complete,English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
0.5,,18,0,1,1,1,0,1,1,complete,1,1,1,0,0,79.6,1,,1,2,occasion,0,0,3,1,0,graduate,English,0,4,1,1,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0.85,,18,1,1,1,2,0,0,0,don t kn,0,1,1,0,0,80.3,1,50,1,2,occasion,0,0,3,0,0,don t kn,Other,0,4,1,1,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.12,0.28,18,0,1,1,1.5,0.5,0,0,did not,1,1,1,0,0,78.2,0,64,0,2,rarely,0,1,0,1,0,graduate,English,0,5,0,1,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
,,18,0,1,1,0.5,0,1,0,graduate,0,1,1,0,0,83.7,1,54,1,3,usually,0,0,0.5,0,0,did not,Other,0,6,0,1,F,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
